VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,month,LocationID,Borough,Zone,service_zone
2,2023-01-11 15:00:00,01/11/2023 03:09:00 PM,,,61,61,,2645.65,12.18,0.0,0.0,2.64,0.0,,1.0,15.82,,,,1,61,Brooklyn,Crown Heights North,Boro Zone
2,2023-01-08 21:28:27,01/08/2023 09:41:43 PM,N,1.0,97,114,5.0,3.39,17.7,1.0,0.5,6.88,0.0,,1.0,29.83,1.0,1.0,2.75,1,97,Brooklyn,Fort Greene,Boro Zone
1,2023-01-24 19:40:02,01/24/2023 09:16:29 PM,N,1.0,55,55,1.0,8.0,80.7,2.5,0.5,0.0,0.0,,0.3,84.0,2.0,1.0,0.0,1,55,Brooklyn,Coney Island,Boro Zone
2,2023-01-04 17:32:26,01/04/2023 05:45:37 PM,N,1.0,97,49,1.0,1.09,12.1,2.5,0.5,3.22,0.0,,1.0,19.32,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-07 22:42:49,01/07/2023 10:52:30 PM,N,1.0,255,80,1.0,1.58,11.4,1.0,0.5,1.5,0.0,,1.0,15.4,1.0,1.0,0.0,1,255,Brooklyn,Williamsburg (North Side),Boro Zone
2,2023-01-06 18:44:58,01/06/2023 06:54:52 PM,N,1.0,65,97,1.0,1.35,10.7,2.5,0.5,2.94,0.0,,1.0,17.64,1.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
2,2023-01-09 13:36:31,01/09/2023 01:54:38 PM,N,1.0,97,144,1.0,3.11,19.8,0.0,0.5,4.67,0.0,,0.3,28.02,1.0,1.0,2.75,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-21 20:46:00,01/21/2023 08:54:00 PM,,,80,255,,0.63,12.87,0.0,0.0,1.0,0.0,,1.0,14.87,,,,1,80,Brooklyn,East Williamsburg,Boro Zone
2,2023-01-14 19:29:20,01/14/2023 07:43:26 PM,N,1.0,97,225,1.0,2.64,15.6,0.0,0.5,0.0,0.0,,1.0,17.1,2.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
1,2023-01-02 15:18:40,01/02/2023 03:28:32 PM,N,1.0,97,49,1.0,1.1,9.3,0.0,1.5,2.7,0.0,,1.0,13.5,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
