userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
User_1935,,Top stuff,5,0,,14-12-2024 14:03,,,
User_6494,,"Efficient, driver is professional, cost is reasonable",5,0,4.554.10001,04-12-2024 23:17,,,4.554.10001
User_1720,,Waiting charge is extra bad experience,1,0,4.555.10003,14-12-2024 22:12,,,4.555.10003
User_9120,,Good service,5,0,4.554.10001,30-11-2024 11:41,,,4.554.10001
User_360,,Nice and budget,5,0,4.554.10001,17-12-2024 20:46,,,4.554.10001
User_9663,,Awesome thanks,5,0,4.554.10001,29-11-2024 12:50,,,4.554.10001
User_5277,,Very polite and very professional,5,0,4.555.10003,07-12-2024 12:57,,,4.555.10003
User_8546,,Worst customer service On 19/11/24 I booked an auto the driver cancelled and I was asked to pas the cancellation fee On my next ride the app shows the cancellation fee of the previous ride with ride fee . And I paid for the time being and when I filled an complaint the was showing Rs 19 were refunded to uber wallet but the Balance was showing 00,1,0,4.554.10001,01-12-2024 12:11,,,4.554.10001
User_2221,,Nice aap,5,0,4.555.10003,13-12-2024 23:01,,,4.555.10003
User_4617,,Reliable and timescale and easy tovl use with good prices,5,0,4.554.10001,08-12-2024 20:16,,,4.554.10001
User_3465,,Very good,5,0,,11-12-2024 08:31,,,
User_1408,,Great experience..,5,0,4.556.10005,15-12-2024 14:30,,,4.556.10005
User_468,,Uber slow.,1,0,4.556.10005,17-12-2024 16:51,,,4.556.10005
User_1175,,Good ride,5,0,4.556.10005,16-12-2024 00:22,,,4.556.10005
User_5224,,Thank you,5,0,4.554.10001,07-12-2024 15:32,,,4.554.10001
User_8128,,"Cool, respectful drivers",5,0,4.554.10001,02-12-2024 03:55,,,4.554.10001
User_424,,Best product,5,0,4.555.10003,17-12-2024 18:29,,,4.555.10003
User_7047,,Always a pleasure to ride with Uber drivers. Quick pick ups all the time,5,0,4.554.10001,03-12-2024 22:50,,,4.554.10001
User_2483,,Good service...,5,0,4.556.10005,13-12-2024 12:15,,,4.556.10005
User_1825,,Quick service on a busy Friday evening.,5,0,4.543.10001,14-12-2024 18:16,,,4.543.10001
User_10557,,Very bad Very high charge Just 1.3 km they charging 88 to 90 rs So i stopped taking uber,1,1,4.553.10000,27-11-2024 17:15,,,4.553.10000
User_1483,,Good,5,0,4.556.10005,15-12-2024 11:57,,,4.556.10005
User_9290,,nice,5,0,4.553.10000,30-11-2024 03:05,,,4.553.10000
User_9709,,"It is a cheating app. While booking the ride it shows as 400 rupees and it increases to 680 while dropping. Because of this, conflict is being created between drivers and us. There was no traffic also. Its their trick to choose their platform when compared to others like ola or rapido. I suggest everyone to prefer ola or rapido. Because their price is fixed and it will not vary like uber's",1,84,4.553.10000,29-11-2024 11:22,,,4.553.10000
User_1650,,"Honestamente el servicio es terrible. Me aceptan viajes choferes para que me me los cancelen o no me hagan caso. Antes el servicio era de primera pero ahora es igual de malo que el servicio normal de taxis que buscábamos evitar. La única razón por la que los sigo usando es por las tarifas relativamente bajas contra la competencia, pero por el pésimo servicio de sus ""socios"", nosotros los consumidores terminamos perdiendo. Al menos dejen reportar a esos socios.",1,0,4.556.10005,15-12-2024 01:24,,,4.556.10005
User_9786,,Nice,1,0,4.554.10001,29-11-2024 07:36,,,4.554.10001
User_2813,,Love it . It is effective and quick,5,0,4.538.10000,12-12-2024 18:44,,,4.538.10000
User_3704,,Very comfortable ride,5,0,4.555.10003,10-12-2024 18:53,,,4.555.10003
User_6118,,Excellent,5,0,4.553.10000,05-12-2024 17:35,,,4.553.10000
User_5042,,Love the app and convenient application,5,0,4.554.10001,07-12-2024 22:53,,,4.554.10001
User_11208,,It's good 👍,5,0,,26-11-2024 13:13,,,
User_7238,,I love that app,5,0,,03-12-2024 16:26,,,
User_11505,,After arriving the destination the charge always gets increased 👎,1,0,4.553.10000,25-11-2024 21:25,,,4.553.10000
User_11074,,Even single star is waste... Driver will not lift the call and they won't reply and for cancelation again they will charge on us.... I wait upto 10min and called driver and I cancelled and I got cancelation fee.. This is second time and I'm not going to use it at all,1,0,4.514.10003,26-11-2024 18:50,,,4.514.10003
User_10996,,Good,4,0,4.553.10000,26-11-2024 21:01,,,4.553.10000
User_4999,,"I have been trying to cancel my Uber One membership for a week. When you try to cancel, it continues to direct you to pausing your membership. Then, after jumping through those hoops, it makes you contact a representative for 'help' to cancel. 5 days later, I finally hear back from a 'representative' only to be asked if I would like to pause my membership for 1 month or 2....I WANT TO CANCEL!! This issue is still unresolved, and it feels like a very slimey tactic to keep me paying.",1,19,4.548.10001,08-12-2024 00:32,,,4.548.10001
User_8480,,Good,4,0,4.554.10001,01-12-2024 14:06,,,4.554.10001
User_9267,,"1st time using the app, enjoyed the discussion with driver who was experienced and willing to explain the workings of UBER...great service...",5,0,4.554.10001,30-11-2024 04:28,,,4.554.10001
User_8398,,Good,3,0,4.554.10001,01-12-2024 16:58,,,4.554.10001
User_2631,,"Great drivers. I couldn't set time. I set 1:00 pm but time confirmed wrong. Tried 3 times. Was able to cancel 1. I called first two at number shown. Phone showed Ontario then BC and neither answered. Finally lady called me, told her my problems. Said she would call Uber so I wasn't charged. Said I would take a cab. Said no, she'd tell them I need 1:00 pm pick up. Nobody came, so guess she didn't. Hope she did call Uber about wrong times. Will try to set time one more trip.",2,0,4.553.10000,13-12-2024 03:52,,,4.553.10000
User_3131,,Good in USA but lots of issues when traveling. I'm living in South America for an extended amount of time and the drivers only want to be paid in cash. They get frustrated if you pay in card even if you tip generously and they will give you 1 star reviews for this. UBER please tell drivers the payment method of the rider and do not allow drivers to give fake reviews to riders. My rider rating has absolutely plummeted from 1 star reviews from this trip alone.,2,0,,12-12-2024 00:45,,,
