userName,content,score,Clean_content,Review_Length,keywords_found,keyword_count,sentiment_score,Sentiment
User_1935,Top stuff,5,top stuff,9,,0,0.2023,Positive
User_6494,"Efficient, driver is professional, cost is reasonable",5,"efficient, driver is professional, cost is reasonable",53,driver,1,0.4215,Positive
User_1720,Waiting charge is extra bad experience,1,waiting charge is extra bad experience,38,wait,1,-0.5423,Negative
User_9120,Good service,5,good service,12,,0,0.4404,Positive
User_360,Nice and budget,5,nice and budget,15,,0,0.4215,Positive
User_9663,Awesome thanks,5,awesome thanks,14,,0,0.7906,Positive
User_5277,Very polite and very professional,5,very polite and very professional,33,,0,0.0,Neutral
User_8546,Worst customer service On 19/11/24 I booked an auto the driver cancelled and I was asked to pas the cancellation fee On my next ride the app shows the cancellation fee of the previous ride with ride fee . And I paid for the time being and when I filled a,1,worst customer service on 19/11/24 i booked an auto the driver cancelled and i was asked to pas the cancellation fee on my next ride the app shows the cancellation fee of the previous ride with ride fee . and i paid for the time being and when i filled a,254,"cancel, driver",2,-0.7269,Negative
User_2221,Nice aap,5,nice aap,8,,0,0.4215,Positive
User_4617,Reliable and timescale and easy tovl use with good prices,5,reliable and timescale and easy tovl use with good prices,57,price,1,0.7003,Positive
User_3465,Very good,5,very good,9,,0,0.4927,Positive
User_1408,Great experience..,5,great experience..,18,,0,0.6249,Positive
User_468,Uber slow.,1,uber slow.,10,slow,1,0.0,Neutral
User_1175,Good ride,5,good ride,9,,0,0.4404,Positive
User_5224,Thank you,5,thank you,9,,0,0.3612,Positive
User_8128,"Cool, respectful drivers",5,"cool, respectful drivers",24,driver,1,0.6486,Positive
User_424,Best product,5,best product,12,,0,0.6369,Positive
User_7047,Always a pleasure to ride with Uber drivers. Quick pick ups all the time,5,always a pleasure to ride with uber drivers. quick pick ups all the time,72,driver,1,0.5719,Positive
User_2483,Good service...,5,good service...,15,,0,0.4404,Positive
User_1825,Quick service on a busy Friday evening.,5,quick service on a busy friday evening.,39,,0,0.0,Neutral
User_10557,Very bad Very high charge Just 1.3 km they charging 88 to 90 rs So i stopped taking uber,1,very bad very high charge just 1.3 km they charging 88 to 90 rs so i stopped taking uber,88,,0,-0.7418,Negative
User_1483,Good,5,good,4,,0,0.4404,Positive
User_9290,nice,5,nice,4,,0,0.4215,Positive
User_9709,"It is a cheating app. While booking the ride it shows as 400 rupees and it increases to 680 while dropping. Because of this, conflict is being created between drivers and us. There was no traffic also. Its their trick to choose their platform when compar",1,"it is a cheating app. while booking the ride it shows as 400 rupees and it increases to 680 while dropping. because of this, conflict is being created between drivers and us. there was no traffic also. its their trick to choose their platform when compar",254,"driver, traffic",2,-0.7667,Negative
User_1650,Honestamente el servicio es terrible. Me aceptan viajes choferes para que me me los cancelen o no me hagan caso. Antes el servicio era de primera pero ahora es igual de malo que el servicio normal de taxis que buscÃÂ¡bamos evitar. La ÃÂºnica razÃÂ³n p,1,honestamente el servicio es terrible. me aceptan viajes choferes para que me me los cancelen o no me hagan caso. antes el servicio era de primera pero ahora es igual de malo que el servicio normal de taxis que buscÃ£Â¡bamos evitar. la Ã£Âºnica razÃ£Â³n p,253,cancel,1,-0.6486,Negative
User_9786,Nice,1,nice,4,,0,0.4215,Positive
User_2813,Love it . It is effective and quick,5,love it . it is effective and quick,35,,0,0.8074,Positive
User_3704,Very comfortable ride,5,very comfortable ride,21,,0,0.5563,Positive
User_6118,Excellent,5,excellent,9,,0,0.5719,Positive
User_5042,Love the app and convenient application,5,love the app and convenient application,39,,0,0.6369,Positive
User_11208,It's good Ã°ÂÂÂ,5,it's good Ã°ÂÂÂ,14,,0,0.4404,Positive
User_7238,I love that app,5,i love that app,15,,0,0.6369,Positive
User_11505,After arriving the destination the charge always gets increased Ã°ÂÂÂ,1,after arriving the destination the charge always gets increased Ã°ÂÂÂ,68,,0,0.2732,Positive
User_11074,Even single star is waste... Driver will not lift the call and they won't reply and for cancelation again they will charge on us.... I wait upto 10min and called driver and I cancelled and I got cancelation fee.. This is second time and I'm not going to,1,even single star is waste... driver will not lift the call and they won't reply and for cancelation again they will charge on us.... i wait upto 10min and called driver and i cancelled and i got cancelation fee.. this is second time and i'm not going to,253,"cancel, wait, driver",3,-0.25,Negative
User_10996,Good,4,good,4,,0,0.4404,Positive
User_4999,"I have been trying to cancel my Uber One membership for a week. When you try to cancel, it continues to direct you to pausing your membership. Then, after jumping through those hoops, it makes you contact a representative for 'help' to cancel. 5 days lat",1,"i have been trying to cancel my uber one membership for a week. when you try to cancel, it continues to direct you to pausing your membership. then, after jumping through those hoops, it makes you contact a representative for 'help' to cancel. 5 days lat",254,cancel,1,-0.6124,Negative
User_8480,Good,4,good,4,,0,0.4404,Positive
User_9267,"1st time using the app, enjoyed the discussion with driver who was experienced and willing to explain the workings of UBER...great service...",5,"1st time using the app, enjoyed the discussion with driver who was experienced and willing to explain the workings of uber...great service...",141,driver,1,0.5106,Positive
User_8398,Good,3,good,4,,0,0.4404,Positive
User_2631,"Great drivers. I couldn't set time. I set 1:00 pm but time confirmed wrong. Tried 3 times. Was able to cancel 1. I called first two at number shown. Phone showed Ontario then BC and neither answered. Finally lady called me, told her my problems. Said she",2,"great drivers. i couldn't set time. i set 1:00 pm but time confirmed wrong. tried 3 times. was able to cancel 1. i called first two at number shown. phone showed ontario then bc and neither answered. finally lady called me, told her my problems. said she",254,"cancel, driver",2,-0.802,Negative
User_3131,Good in USA but lots of issues when traveling. I'm living in South America for an extended amount of time and the drivers only want to be paid in cash. They get frustrated if you pay in card even if you tip generously and they will give you 1 star review,2,good in usa but lots of issues when traveling. i'm living in south america for an extended amount of time and the drivers only want to be paid in cash. they get frustrated if you pay in card even if you tip generously and they will give you 1 star review,254,driver,1,-0.0258,Neutral
User_9583,First time user. Understandable app. Able to make reservation more than a month in advance. Satisfactory update notices. On time. Professional.,5,first time user. understandable app. able to make reservation more than a month in advance. satisfactory update notices. on time. professional.,143,,0,0.3612,Positive
User_8218,"My package deliverer stole my package, called uber, they never compensated me at all. Ã°ÂÂÂ",2,"my package deliverer stole my package, called uber, they never compensated me at all. Ã°ÂÂÂ",90,,0,0.0,Neutral
User_9276,Excellent,5,excellent,9,,0,0.5719,Positive
User_3813,They are bad. I subscribe and paying 6 GBP monthly. Now during raining day they want me to pay extra otherwise they assigned me far away driver who needs more than 10 minutes to arrive. It still the same policy even after one year,1,they are bad. i subscribe and paying 6 gbp monthly. now during raining day they want me to pay extra otherwise they assigned me far away driver who needs more than 10 minutes to arrive. it still the same policy even after one year,230,driver,1,-0.5574,Negative
User_5886,Excelente,5,excelente,9,,0,0.0,Neutral
User_5082,Good quick trip,5,good quick trip,15,,0,0.4404,Positive
User_11815,3 times trip canceld,3,3 times trip canceld,20,cancel,1,0.0,Neutral
User_8823,Was lovely,5,was lovely,10,,0,0.5859,Positive
